#Band 0: S450_JCMT
#Band 1: S500_Herschel
#Band 2: S850_JCMT
#Band 3: Band9_ALMA
#Band 4: Band8_ALMA
#Band 5: Band7_ALMA
#Band 6: Band6_ALMA
#Band 7: Band5_ALMA
#Band 8: Band4_ALMA
#Cumulative number counts at band 0
#log10(S_low/mJy) N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
14.0 20.205952191 0.954684897099 17.8053367702
16.0 14.5056491647 0.639546193202 12.6796984391
18.0 10.5293402243 0.50978319748 9.11121605678
20.0 7.70236067465 0.426364128802 6.63645035265
22.0 6.0525168719 0.305869918488 5.28320768298
24.0 4.64366148977 0.222450849809 4.00411529657
26.0 3.68897659267 0.14830056654 3.22553732224
28.0 3.00308647243 0.120494210313 2.66941019771
30.0 2.48403448954 0.0741502832698 2.15962700023
32.0 1.92790736502 0.0278063562262 1.76106922766
34.0 1.57569351948 0.0278063562262 1.46446809458
36.0 1.29762995722 0.0278063562262 1.24201724477
38.0 1.13079181986 0.0185375708175 1.01956639496
40.0 0.963953682508 0.00926878540873 0.843459472194
42.0 0.722965261881 0.00926878540873 0.667352549428
44.0 0.574664695341 0.0 0.500514412071
46.0 0.36148263094 0.0 0.296601133079
48.0 0.166838137357 0.0 0.101956639496
#Differential number counts at band 2
#log10(S_mid/mJy) N_total[deg^-2 dex^-1] N_bulge[deg^-2 dex^-1] N_disk[deg^-2 dex^-1]
-1.875 144969.921191 150907.8388 45942.47741
-1.625 154442.656954 162938.166133 44846.3508476
-1.375 153300.668441 156409.419067 44193.5317537
-1.125 136441.45221 125513.146387 43729.7217318
-0.875 112691.820907 85811.4163428 42462.9382924
-0.625 85727.0703956 48325.593364 39041.1622455
-0.375 56448.0153934 19923.6249875 31800.053408
-0.125 32128.0942611 5894.87336967 22150.5433698
0.125 16186.784387 1470.91916922 12950.0132968
0.375 6960.56124082 361.074804382 6046.21409782
0.625 2361.68652214 88.9432647822 2122.9967603
0.875 620.081743844 21.1699058735 569.325874946
1.125 148.07811569 5.37589553706 135.101816118
1.375 35.4809105446 1.85375708175 30.2533155741
1.625 9.26878540873 0.259525991444 8.56435771767
1.875 3.89288987167 0.296601133079 3.29968760551
2.125 0.778577974333 0.0741502832698 0.667352549428
2.375 0.111225424905 0.0370751416349 0.0370751416349
2.625 0.111225424905 0.0370751416349 0.0741502832698
2.875 0.0370751416349 0.0 0.0370751416349
#S_mid/mJy N_total[deg^-2 mJy^-1] N_bulge[deg^-2 mJy^-1] N_disk[deg^-2 mJy^-1]
1.0 352466.480181 347560.257173 270772.397349
3.0 786.048615373 36.8248844289 691.006489792
5.0 145.320652031 5.26003571945 131.704806265
7.0 44.0591714404 1.44593052376 40.5323985924
9.0 18.2456040771 0.65808376402 16.5911258816
11.0 8.68948632068 0.296601133079 7.98042423692
13.0 5.16734786537 0.157569351948 4.70854298763
15.0 2.85015151318 0.157569351948 2.56281916551
17.0 1.98815447017 0.0648814978611 1.78424119118
19.0 1.41348977483 0.0417095343393 1.23738285207
21.0 0.824921901377 0.0602471051567 0.676621334837
23.0 0.704427691063 0.0417095343393 0.639546193202
25.0 0.47734244855 0.0370751416349 0.389288987167
27.0 0.342945060123 0.0139031781131 0.278063562262
29.0 0.259525991444 0.0231719635218 0.25489159874
31.0 0.278063562262 0.0231719635218 0.199278886288
33.0 0.176106922766 0.0 0.14830056654
35.0 0.139031781131 0.0 0.111225424905
37.0 0.0834190686786 0.00463439270436 0.111225424905
39.0 0.0834190686786 0.00463439270436 0.0880534613829
41.0 0.120494210313 0.0 0.0880534613829
43.0 0.0741502832698 0.00463439270436 0.0834190686786
45.0 0.1065910322 0.0 0.101956639496
47.0 0.0973222467917 0.0 0.0973222467917
49.0 0.0834190686786 0.0 0.050978319748
#Cumulative number counts at band 3
#log10(S_low/mJy) N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
-2.0 306147.9079 265820.23824 104259.645338
-1.75 264905.696452 224188.39486 90277.9791498
-1.5 220647.904209 179423.803968 77456.4682939
-1.25 173946.405962 133516.770394 65229.1051203
-1.0 131355.400862 93500.8007179 53237.5398475
-0.75 96493.1817432 62480.0853247 41446.6530475
-0.5 68049.3369942 39107.4247924 30274.2908355
-0.25 44336.8364449 21814.2254912 20628.9424819
0.0 25321.570965 10136.084197 13064.8164729
0.25 12507.280493 3826.2936485 7529.21976322
0.5 5516.63277471 1254.35399815 3816.40385447
0.75 2190.37156143 392.060354004 1646.01579438
1.0 788.968282776 124.72077646 616.318616968
1.25 261.055341037 41.1997511418 204.821619962
1.5 84.7074298504 13.0782562117 65.9288706123
1.75 28.68689084 4.69927420223 22.1894722685
2.0 9.6673431813 1.63130623194 7.38722197076
2.25 3.29968760551 0.50978319748 2.58599112904
2.5 1.11225424905 0.120494210313 0.889803399238
2.75 0.324407489306 0.0648814978611 0.231719635218
#S_low/mJy N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
0.0 714304.990772 704794.595934 581987.888542
2.0 10630.1753408 3067.31915531 6603.40713267
4.0 3804.46565887 773.98065677 2735.97861452
6.0 1924.30180749 337.865765719 1454.70806354
8.0 1146.53021749 186.107942222 888.737488916
10.0 753.441028305 118.853635296 588.549335883
12.0 525.252800327 82.3902334982 412.590713684
14.0 381.30856293 59.3665705429 299.289080848
16.0 285.042957675 44.2584503267 223.748479767
18.0 219.466300908 34.4520753642 172.251108036
20.0 172.510634027 26.6014141231 134.582764135
22.0 136.28822065 21.1606370881 106.044173861
24.0 108.945303694 16.7023513065 84.6054732109
26.0 87.9515047434 13.4212012718 68.5333993121
28.0 71.2862285785 10.6683720054 55.4551431004
30.0 58.0504030149 8.69412071339 44.9072653053
32.0 47.1317738034 6.82182606082 36.6117023645
34.0 37.5107745491 5.43150824952 29.2337491791
36.0 30.0957462221 4.42121063996 23.3388016592
38.0 23.5705212944 3.41091303041 18.3614638947
40.0 18.0926691178 2.69721655394 13.9958659672
42.0 13.2543631345 2.08547671696 10.1771263788
44.0 9.17609755464 1.39031781131 7.1184271939
46.0 5.737378168 0.880534613829 4.28217885883
48.0 2.68794776853 0.454170485028 1.94644493583
#Differential number counts at band 3
#log10(S_mid/mJy) N_total[deg^-2 dex^-1] N_bulge[deg^-2 dex^-1] N_disk[deg^-2 dex^-1]
-1.875 164968.845791 166527.37352 55926.6647517
-1.625 177031.168972 179058.363566 51286.0434236
-1.375 186805.992989 183628.134298 48909.4526945
-1.125 170364.020402 160063.878703 47966.2610913
-0.875 139448.876474 124082.861573 47163.5471998
-0.625 113775.378996 93490.6421291 44689.4488482
-0.375 94850.0021972 69172.7972048 38581.3934141
-0.125 76061.0619194 46712.5651769 30256.5040363
0.125 51257.1618882 25239.162194 22142.3868386
0.375 27962.590873 10287.7586014 14851.263635
0.625 13305.0448531 3449.17457658 8681.55224037
0.875 5605.61311463 1069.35831018 4118.78870965
1.125 2111.65176696 334.084101272 1645.98798802
1.375 705.391644746 112.48597972 555.570997399
1.625 224.082156041 33.515928038 174.957593375
1.875 76.0781906348 12.2718718812 59.209001191
2.125 25.4706223032 4.48609213782 19.2049233669
2.375 8.74973342584 1.55715594867 6.78475091919
2.625 3.15138703897 0.222450849809 2.63233505608
2.875 1.29762995722 0.259525991444 0.926878540873
#S_mid/mJy N_total[deg^-2 mJy^-1] N_bulge[deg^-2 mJy^-1] N_disk[deg^-2 mJy^-1]
1.0 351837.407715 350863.638389 287692.240705
3.0 3412.85484096 1146.66924927 1933.71425907
5.0 940.081925688 218.057445526 640.635275488
7.0 388.885795001 75.8789117486 282.985287314
9.0 196.544594592 33.6271534629 150.094076516
11.0 114.094113989 18.231700899 87.9793110997
13.0 71.9721186988 11.5118314776 56.6508164182
15.0 48.1328026275 7.55406010811 37.7703005406
17.0 32.7883283834 4.90318748122 25.7486858654
19.0 23.4778334403 3.9253306206 18.8341719505
21.0 18.1112066887 2.72038851746 14.2692951367
23.0 13.6714584779 2.2291428908 10.7193503252
25.0 10.4968994754 1.64057501734 8.03603694937
27.0 8.33263808245 1.3764146332 6.53912810586
29.0 6.61791278183 0.98712564603 5.27393889757
31.0 5.45931460574 0.936147326282 4.14778147041
33.0 4.81049962713 0.695158905655 3.68897659267
35.0 3.70751416349 0.505148804776 2.94747375998
37.0 3.26261246387 0.505148804776 2.48866888224
39.0 2.73892608828 0.356848238236 2.18279896376
41.0 2.41915299168 0.305869918488 1.9093697942
43.0 2.03913278992 0.347579452827 1.52934959244
45.0 1.71935969332 0.25489159874 1.41812416754
47.0 1.52471519974 0.213182064401 1.1678669615
49.0 1.34397388427 0.227085242514 0.973222467917
#Cumulative number counts at band 4
#log10(S_low/mJy) N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
-2.0 257559.071762 220521.904341 93136.8433213
-1.75 221288.136293 183384.411586 80917.5254534
-1.5 181850.807621 142282.835419 69166.3553989
-1.25 140647.191396 100066.622926 57608.0038873
-1.0 102626.661456 63621.9626119 46186.7655183
-0.75 70764.7759802 36257.4308486 35008.7215408
-0.5 44563.8568059 17441.5647492 24493.479139
-0.25 24575.7118032 6487.36193935 15511.8777774
0.0 11931.0215665 1894.91975775 8736.21953671
0.25 5167.61666014 501.153958265 4215.13773397
0.5 1925.01550397 134.740333487 1659.17746966
0.75 597.336144451 37.2419797723 527.264126761
1.0 161.823724451 9.79710617703 143.258347277
1.25 43.5910977773 3.04943039947 37.5849248324
1.5 12.3182158082 0.991760038734 10.3346957307
1.75 3.93923379871 0.278063562262 3.39237545959
2.0 1.21421088854 0.120494210313 1.01956639496
2.25 0.324407489306 0.0556127124524 0.250257206036
2.5 0.0741502832698 0.0185375708175 0.0463439270436
2.75 0.0278063562262 0.00926878540873 0.0185375708175
#S_low/mJy N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
0.0 711508.468451 700885.114936 562650.097137
2.0 4282.8369426 382.930600376 3547.72030305
4.0 1215.62901271 78.1358609956 1060.15440626
6.0 515.251780871 32.0514599434 454.976869358
8.0 266.190248153 15.738397624 235.983276506
10.0 156.762967618 9.42635476068 138.920555706
12.0 100.557052899 6.25643015089 88.5447070096
14.0 69.1266015783 4.63439270436 61.0256831311
16.0 50.1533978466 3.47579452827 43.7857422708
18.0 37.167829489 2.60452869985 32.2090292953
20.0 28.1493012863 1.90010100879 24.2564114146
22.0 21.679689071 1.57569351948 18.4726893196
24.0 16.961877298 1.2790923864 14.4871115938
26.0 13.6529209071 1.07517910741 11.5581754047
28.0 10.9000916407 0.908340970055 9.12048484219
30.0 8.69412071339 0.713696476472 7.23892140422
32.0 7.04427691063 0.611739836976 5.82079723668
34.0 5.66322788473 0.491245626663 4.49536092323
36.0 4.50462970864 0.380020201758 3.67043902186
38.0 3.45725695746 0.352213845532 2.8640546913
40.0 2.74356048098 0.268794776853 2.24304606891
42.0 2.07620793156 0.203913278992 1.70545651521
44.0 1.41812416754 0.139031781131 1.20494210313
46.0 0.899072184647 0.111225424905 0.750771618107
48.0 0.36148263094 0.0648814978611 0.315138703897
#Differential number counts at band 4
#log10(S_mid/mJy) N_total[deg^-2 dex^-1] N_bulge[deg^-2 dex^-1] N_disk[deg^-2 dex^-1]
-1.875 145083.741876 148549.971017 48877.2714716
-1.625 157749.314686 164406.304667 47004.6802179
-1.375 164814.464901 168864.849975 46233.4060464
-1.125 152082.119761 145778.641255 45684.9534762
-0.875 127447.541902 109458.127053 44712.17591
-0.625 104803.676697 75263.4643974 42060.9696068
-0.375 79952.5800108 43816.8112395 35926.4054465
-0.125 50578.7609466 18369.7687264 27102.6329628
0.125 27053.6196256 5575.06319793 18084.327211
0.375 12970.4046247 1465.65449911 10223.8410572
0.625 5310.71743807 389.993414858 4527.6533716
0.875 1742.04968 109.779494381 1536.02311793
1.125 472.930506695 26.9907031102 422.69368978
1.375 125.091527876 8.23068144295 109.000916407
1.625 33.515928038 2.85478590589 27.7692810846
1.875 10.9000916407 0.630277407794 9.49123625854
2.125 3.55921359695 0.259525991444 3.0772367557
2.375 1.00102882414 0.14830056654 0.815653115968
2.625 0.185375708175 0.0370751416349 0.111225424905
2.875 0.111225424905 0.0370751416349 0.0741502832698
#S_mid/mJy N_total[deg^-2 mJy^-1] N_bulge[deg^-2 mJy^-1] N_disk[deg^-2 mJy^-1]
1.0 353612.815754 350251.092168 279551.188417
3.0 1533.60396494 152.39736969 1243.78294839
5.0 350.18861592 23.0422005261 302.588768453
7.0 124.530766359 8.15653115968 109.496796426
9.0 54.7136402677 3.15602143167 48.5313604001
11.0 28.1029573593 1.58496230489 25.1879243482
13.0 15.7152256605 0.811018723264 13.7595119393
15.0 9.48660186583 0.579299088046 8.61997043012
17.0 6.49278417881 0.43563291421 5.78835648775
19.0 4.50926410135 0.352213845532 3.97630894034
21.0 3.23480610765 0.162203744653 2.89186104752
23.0 2.35890588652 0.14830056654 1.99278886288
25.0 1.65447819546 0.101956639496 1.46446809458
27.0 1.3764146332 0.0834190686786 1.21884528125
29.0 1.10298546364 0.0973222467917 0.940781718986
31.0 0.824921901377 0.050978319748 0.709062083768
33.0 0.69052451295 0.0602471051567 0.662718156724
35.0 0.579299088046 0.0556127124524 0.412460950688
37.0 0.523686375593 0.0139031781131 0.40319216528
39.0 0.356848238236 0.0417095343393 0.310504311192
41.0 0.333676274714 0.0324407489306 0.268794776853
43.0 0.32904188201 0.0324407489306 0.250257206036
45.0 0.259525991444 0.0139031781131 0.227085242514
47.0 0.268794776853 0.0231719635218 0.217816457105
49.0 0.18074131547 0.0324407489306 0.157569351948
#Cumulative number counts at band 5
#log10(S_low/mJy) N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
-2.0 212445.594519 176204.207937 80094.7817166
-1.75 175820.508028 137812.379723 68832.4937485
-1.5 137463.002125 97352.036668 57803.2508519
-1.25 100484.163171 60166.5501427 46904.7997863
-1.0 68195.3481707 31694.3614479 36153.360926
-0.75 42193.1424868 13520.8036398 25783.8516373
-0.5 23376.1363268 4413.71219257 16453.6976004
-0.25 11533.1126089 1155.99364739 9111.89267812
0.0 4972.86094113 278.962634447 4251.72162998
0.25 1790.23809534 68.7002374495 1600.09823147
0.5 517.800696859 16.5355131692 472.745130987
0.75 126.41696419 4.18022221934 115.507603764
1.0 30.0864774367 1.24201724477 26.8516713291
1.25 7.22965261881 0.380020201758 6.27496772171
1.5 2.47476570413 0.129762995722 2.18743335646
1.75 0.778577974333 0.0834190686786 0.65808376402
2.0 0.139031781131 0.0278063562262 0.111225424905
2.25 0.0463439270436 0.0185375708175 0.0278063562262
2.5 0.00926878540873 0.0 0.00926878540873
2.75 0.0 0.0 0.0
#S_low/mJy N_total[deg^-2] N_bulge[deg^-2] N_disk[deg^-2]
0.0 704866.289989 692686.327384 534988.13005
2.0 1413.1282922 50.5519556192 1269.823601
4.0 295.627910611 9.15755998382 270.963672639
6.0 106.368581351 3.54067602613 96.8588075212
8.0 51.0710076021 1.78887558388 46.4458836831
10.0 29.094717398 1.14932939068 26.0360182131
12.0 18.2131633282 0.778577974333 16.146224182
14.0 12.2533343103 0.565395909932 10.7239847179
16.0 8.20287508672 0.417095343393 7.14623355013
18.0 5.98763537404 0.268794776853 5.25540132675
20.0 4.53243606487 0.213182064401 4.01338408198
22.0 3.62409509481 0.129762995722 3.23480610765
24.0 2.84551712048 0.0834190686786 2.55818477281
26.0 2.32646513759 0.0648814978611 2.15962700023
28.0 1.92790736502 0.0556127124524 1.78887558388
30.0 1.64984380275 0.0463439270436 1.56642473408
32.0 1.45519930917 0.0278063562262 1.33470509886
34.0 1.1678669615 0.0278063562262 1.08444789282
