a_max_f_micron,P_Band4,omega_Band4,P_times_omega_Band4,P_Band5,omega_Band5,P_times_omega_Band5,P_Band6,omega_Band6,P_times_omega_Band6,P_Band7,omega_Band7,P_times_omega_Band7
1945090.180360722,0.19200802714792056,0.8694523294323694,0.16694182647347316,0.19351427274982544,0.8220383061647792,0.1590761449899756,0.20819809924951882,0.7763650123677073,0.16163771989878584,0.26743907380593773,0.6840134703268806,0.18293192897500624
1964929.8597194392,0.18916491997699938,0.868572641953808,0.16430347430940304,0.19618399935799835,0.8210115896567284,0.1610693371781248,0.21018788496960172,0.775244778198995,0.16294706026337474,0.26878455961034525,0.6830262252664159,0.18358690316055007
1984769.5390781565,0.1881762802435876,0.8677059510181624,0.1632816782078224,0.19696814830487883,0.8199872135521346,0.16151136308704117,0.20939529350104796,0.774127242860943,0.1620986012260242,0.26909117210891587,0.6820515603905506,0.18353405382420826
2004609.218436874,0.19109678086716966,0.8668496666802702,0.16565218079837865,0.19695115746715294,0.8189613953123901,0.16129539472768983,0.20879637630077993,0.7730157161010203,0.1614028803454455,0.2697154366839641,0.681092004336516,0.18370102737157976
2024448.8977955913,0.18906711661193903,0.8659948853201133,0.16373115596816062,0.19596863131706782,0.8179432940686366,0.16029122783360464,0.21012601137592057,0.7719216765202987,0.16220082298182398,0.2711871087615871,0.680142925933339,0.18444599362850847
2044288.5771543086,0.18813688629661032,0.8651362352499241,0.1627640375222925,0.19426378189317922,0.816939474995346,0.15870175199042424,0.21117599968973413,0.7708369235982658,0.162782257938623,0.27199781508162246,0.6792086283048122,0.18474326288349477
2064128.2565130265,0.1901486758220666,0.8642777552204675,0.1643412706976401,0.19297810624637407,0.8159452643851433,0.15745957192174195,0.21026454735011507,0.7697546118915456,0.16185210504003933,0.27232365314882817,0.6782861479385287,0.18471336168686664
2083967.9358717436,0.19070366897922025,0.8634272653693476,0.16465874740262942,0.1927828446016355,0.8149501488777464,0.1571084079091783,0.21115668921704753,0.7686841771530225,0.16231280590116268,0.2735647148940588,0.6773752678487182,0.1853059720253213
2103807.615230461,0.18957035525106058,0.8625888528554361,0.16352127527140983,0.19494707249625465,0.8139568576632858,0.15867850653970822,0.212692657278124,0.7676298811575685,0.16326923922949377,0.27487531320830855,0.6764777395620145,0.1859470305405573
2123647.294589178,0.18934363285946818,0.86175761744257,0.163168317930896,0.19725761771468436,0.8129746171179282,0.16036543623519017,0.21228477106487384,0.7665815993844941,0.16273359932788217,0.27529927265226006,0.6755899370831313,0.18598941829017218
2143486.973947896,0.191223882272701,0.860926177772942,0.1646296460639395,0.1971653725978874,0.8120039797242645,0.16009906721330203,0.21189700028268788,0.765539191448221,0.16221545826671233,0.2760139102546568,0.6747153735769073,0.18623082856989373
2163326.653306613,0.18979161722364646,0.8600919014239907,0.1632382329322203,0.19577042420433224,0.8110360685194146,0.15877687517905967,0.2134066151524799,0.7645102971627943,0.1631515547667285,0.2773529728550771,0.673850848526854,0.1868945360998392
